https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1593572400000,2020-07-01 03:00:00,ETHUSDC,225.43,225.6,224.31,225.39,166.39465,37467.6386982,65
1593568800000,2020-07-01 02:00:00,ETHUSDC,224.84,225.84,224.8,225.5,199.42283,44939.5007939,75
1593565200000,2020-07-01 01:00:00,ETHUSDC,225.07,225.14,224.33,224.88,175.34837,39388.1144647,72
1593561600000,2020-07-01 00:00:00,ETHUSDC,225.5,225.54,224.14,224.99,721.1539,162171.0397713,158
1593558000000,2020-06-30 23:00:00,ETHUSDC,225.09,226.02,225.08,225.64,252.22325,56924.3930383,82
1593554400000,2020-06-30 22:00:00,ETHUSDC,226.07,226.07,224.91,224.91,85.10294,19194.4542078,56
1593550800000,2020-06-30 21:00:00,ETHUSDC,225.73,226.31,225.25,226.04,256.71238,57926.9048005,94
1593547200000,2020-06-30 20:00:00,ETHUSDC,224.8,225.68,224.65,225.61,86.63179,19522.7936177,51
1593543600000,2020-06-30 19:00:00,ETHUSDC,225.01,225.77,224.32,225.14,297.62483,66939.2952909,111
1593540000000,2020-06-30 18:00:00,ETHUSDC,224.83,225.57,224.83,225.01,182.04905,41023.938108,58
1593536400000,2020-06-30 17:00:00,ETHUSDC,225.98,225.98,224.58,225.27,193.11903,43514.8362212,90
1593532800000,2020-06-30 16:00:00,ETHUSDC,226.19,226.3,225.15,225.85,149.83965,33824.1769665,85
1593529200000,2020-06-30 15:00:00,ETHUSDC,226.17,226.8,225.53,226.24,499.9553,113060.8874236,125
1593525600000,2020-06-30 14:00:00,ETHUSDC,224.48,226.48,224.48,226.2,303.31386,68319.2246828,112
1593522000000,2020-06-30 13:00:00,ETHUSDC,224.52,225.14,222.81,224.56,890.22731,199288.7690261,208
1593518400000,2020-06-30 12:00:00,ETHUSDC,227.41,227.41,224.0,224.78,1097.57943,247013.2643755,244
1593514800000,2020-06-30 11:00:00,ETHUSDC,227.05,227.59,226.65,227.41,140.88714,32014.4005052,64
1593511200000,2020-06-30 10:00:00,ETHUSDC,226.91,227.34,226.78,227.15,221.90559,50375.2153322,85
1593507600000,2020-06-30 09:00:00,ETHUSDC,226.03,227.35,226.03,226.84,354.06571,80369.0735777,126
1593504000000,2020-06-30 08:00:00,ETHUSDC,226.6,226.61,225.93,226.04,162.69249,36794.5869555,67
1593500400000,2020-06-30 07:00:00,ETHUSDC,227.17,227.29,226.19,226.6,296.32051,67174.0889478,120
1593496800000,2020-06-30 06:00:00,ETHUSDC,225.91,227.1,225.91,227.04,166.67294,37758.3458695,78
1593493200000,2020-06-30 05:00:00,ETHUSDC,226.31,226.78,225.73,225.73,76.16569,17218.1476824,60
1593489600000,2020-06-30 04:00:00,ETHUSDC,226.82,227.41,226.31,226.39,38.55678,8741.2353197,44
1593486000000,2020-06-30 03:00:00,ETHUSDC,227.58,227.58,226.99,227.12,102.55782,23304.1606961,58
1593482400000,2020-06-30 02:00:00,ETHUSDC,227.82,227.96,227.17,227.47,35.68378,8116.0123176,28
1593478800000,2020-06-30 01:00:00,ETHUSDC,227.65,228.11,226.85,228.01,143.36477,32629.3387312,56
1593475200000,2020-06-30 00:00:00,ETHUSDC,228.02,228.48,227.36,227.76,90.3796,20576.324966,50
1593471600000,2020-06-29 23:00:00,ETHUSDC,227.81,228.35,227.24,227.82,222.50703,50711.9183796,92
1593468000000,2020-06-29 22:00:00,ETHUSDC,228.3,229.99,227.65,227.93,946.65204,216887.1861107,288
1593464400000,2020-06-29 21:00:00,ETHUSDC,227.33,228.91,227.33,228.2,869.64775,198672.716681,221
1593460800000,2020-06-29 20:00:00,ETHUSDC,226.03,227.75,226.03,227.32,634.56133,143915.6844787,220
1593457200000,2020-06-29 19:00:00,ETHUSDC,225.8,226.22,225.63,225.93,128.04464,28927.6947761,58
1593453600000,2020-06-29 18:00:00,ETHUSDC,226.37,227.0,225.63,225.68,517.58375,117147.7616759,140
1593450000000,2020-06-29 17:00:00,ETHUSDC,223.87,226.25,223.82,226.13,592.66963,133639.6352309,177
1593446400000,2020-06-29 16:00:00,ETHUSDC,223.86,224.65,223.5,223.85,540.21332,120960.2807544,187
1593442800000,2020-06-29 15:00:00,ETHUSDC,222.47,224.12,222.18,223.86,406.04205,90589.1348597,166
1593439200000,2020-06-29 14:00:00,ETHUSDC,222.29,223.44,222.29,222.55,364.22716,81210.305898,104
1593435600000,2020-06-29 13:00:00,ETHUSDC,223.88,223.98,221.37,222.23,544.21706,121271.0063416,133
1593432000000,2020-06-29 12:00:00,ETHUSDC,223.27,224.96,222.58,224.0,630.04312,140969.4510958,149
1593428400000,2020-06-29 11:00:00,ETHUSDC,223.06,223.26,222.42,223.16,569.20226,126756.1698847,180
1593424800000,2020-06-29 10:00:00,ETHUSDC,223.83,223.83,222.68,223.1,208.76673,46625.6938142,64
1593421200000,2020-06-29 09:00:00,ETHUSDC,222.61,224.14,222.37,224.04,198.66498,44381.5016601,67
1593417600000,2020-06-29 08:00:00,ETHUSDC,222.46,223.0,221.0,222.71,373.82593,82987.97923,131
1593414000000,2020-06-29 07:00:00,ETHUSDC,222.85,223.32,222.24,222.48,718.82421,160121.4322475,196
1593410400000,2020-06-29 06:00:00,ETHUSDC,224.86,224.96,223.0,223.11,692.25897,154994.7167126,133
1593406800000,2020-06-29 05:00:00,ETHUSDC,224.6,225.7,224.41,225.15,459.54838,103452.0275703,97
1593403200000,2020-06-29 04:00:00,ETHUSDC,224.16,224.98,224.01,224.87,402.9456,90328.3157857,74
1593399600000,2020-06-29 03:00:00,ETHUSDC,224.93,225.05,223.98,224.25,292.06471,65576.0275156,104
1593396000000,2020-06-29 02:00:00,ETHUSDC,226.55,226.55,224.89,225.17,256.39886,57829.9647032,83
1593392400000,2020-06-29 01:00:00,ETHUSDC,224.68,226.41,224.68,226.41,357.6928,80684.128773,91
1593388800000,2020-06-29 00:00:00,ETHUSDC,225.14,225.33,223.99,224.58,317.42492,71259.7075425,83
1593385200000,2020-06-28 23:00:00,ETHUSDC,224.66,225.03,224.0,224.72,223.13023,50108.8903683,74
1593381600000,2020-06-28 22:00:00,ETHUSDC,225.1,225.22,223.85,224.44,578.26836,129698.355544,150
1593378000000,2020-06-28 21:00:00,ETHUSDC,224.94,225.51,224.44,225.0,173.55975,39041.1199909,58
